blockchain,block_date,block_time,tx_hash,token_category,safe_sender,receiver,receiver_type,receiver_contract_name,receiver_label_names,receiver_label_categories,receiver_label_models,receiver_ens,receiver_name,event_name,symbol,token_address,amount,amount_usd,vertical,protocol
ethereum,2024-01-25,2024-01-25 15:22:23.000 UTC,0x2f5fa375ce117d4df0f443e1dca00066df28149f7d72af5a3effd4da0005a6ed,erc20,0x3af2acb662a241da4ef4310c7ab226f552b42115,0xa8bd4eb3d7e78f7c044dde021d642786d6f1ca58,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,3332.9999999999995,1101.583164,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-01-29,2024-01-29 08:26:11.000 UTC,0xb578dc51850662c90e8c0584089348ae0d8439b90aaf2014cab989210cff3491,erc20,0x3af2acb662a241da4ef4310c7ab226f552b42115,0xbcfefc0166c23247313c7038c670239d5f106984,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,733,308.845885,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-05-21,2024-05-21 04:39:35.000 UTC,0x81419ad2b156d64994e5a27f0524a69406c40f5a793c0e64856c252278f0b8ce,erc20,0x85128bc0261e7530ca3286c0a5f9d14eecdb5795,0xa9c3800b219f7964154816c2f883bf199d6f12cf,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,HEART,0x8fac8031e079f409135766c7d5de29cf22ef897c,14362.480000000001,352.38344680000006,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-04,2024-11-04 04:53:47.000 UTC,0xaaa6f441708e40bedf4bc9e66faa23abf17dce6e9a082bbd95d3b6cd97d86c3c,erc20,0xbc90d9a450048cb891c6b1a1c00e88478ee0721a,0x1a40256c9e0d365399ea32234205727d1991a6be,Safe,Safe_test: Safe_v_4_1,<nil>,<nil>,<nil>,<nil>,Safe_test,Transfer,XIN,0xa974c709cfb4566686553a20790685a47aceaa33,0.0011,0.119768,unclassified transfer to Safe,Safe_test: Safe_v_4_1
ethereum,2024-02-03,2024-02-03 09:07:47.000 UTC,0xc899698f54141feadf77a750bc5e1ecc848c11302d901283b43f6854310b2fce,erc20,0x3af2acb662a241da4ef4310c7ab226f552b42115,0x6b821bd540ef180ab6e8219af224f9ba52045471,EOA,<nil>,<nil>,<nil>,<nil>,crazycryptoman.eth,crazycryptoman.eth,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,200,65.559,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-01-25,2024-01-25 14:30:47.000 UTC,0x10e337a7b4d6f4921ceca3f5c444cc2b1a7d210fecb77a60b9fe849cff9bfd57,erc20,0x3af2acb662a241da4ef4310c7ab226f552b42115,0xb5efa7026580e0223d2b38f7898984ad83e15d7d,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,933,298.612248,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-01-28,2024-01-28 16:19:59.000 UTC,0x10327989ac2f41f81d9633441f09d61e491a936c63fb469233a90214a3fae113,erc20,0x3af2acb662a241da4ef4310c7ab226f552b42115,0x22a7d47eb5a493f9ff851143cb9b7f08a538e53e,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,333,141.474051,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-01-27,2024-01-27 12:06:11.000 UTC,0xcb6daaad4ad11d9a12a192a40d339b1c9362b7ffdd2e2a63513e60eb03ca6090,erc20,0x3af2acb662a241da4ef4310c7ab226f552b42115,0xca7b127db7bfe3df76bfaf0289be3ef3839b0739,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,333,122.459751,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-01-27,2024-01-27 11:53:59.000 UTC,0x5507a20a5c30459e36b527bbef0f6ad61d3ad82ca91f4cc2a034c267b59706bf,erc20,0x3af2acb662a241da4ef4310c7ab226f552b42115,0x269dcb54a3d428e560dc24e501a66878d1c48e72,EOA,<nil>,<nil>,<nil>,<nil>,777879.eth,777879.eth,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,333,122.74546500000001,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-06-30,2023-06-30 11:29:35.000 UTC,0xb12a1168b95a2e524c47efe95034b47210f3500bd80d440d873db666a96abff7,erc20,0xd558f127e20fc028a6d4e37f41681d569fed11f8,0xb36efd69e3c5cb0e18b7f0c43e47fa431ae40924,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,SD,0x30d20208d987713f46dfd34ef128bb16c404d10f,42,34.389138,unclassified transfer to EOA,unclassified transfer to EOA
